persona_id,age,gender,region,occupation,response,cluster,cluster_summary
P001,25,여,서울,사무원,저는 새로운 제품이 출시되면 바로 구매하는 편이에요.,3,리서치형 소비자
P002,32,남,경기,개발자,가격 대비 성능을 꼼꼼히 따져보고 구매합니다.,3,리서치형 소비자
P003,28,여,부산,디자이너,유튜브를 하루에 3시간 이상 봐요.,2,디지털 몰입형 미니멀콘
P004,45,남,서울,교사,가족과 함께하는 시간이 가장 중요해요.,0,관계중시 입소문족
P005,22,여,인천,학생,넷플릭스 드라마를 몰아보는 걸 좋아해요.,2,디지털 몰입형 미니멀콘
P006,38,남,대구,자영업,친구들과 자주 만나요. 주 1-2회는 꼭 모임이 있어요.,0,관계중시 입소문족
P007,29,여,경기,간호사,식단 관리를 철저히 해요.,1,건강환경형 식단가이드
P008,51,남,서울,관리자,브랜드보다는 후기를 먼저 봐요.,3,리서치형 소비자
P009,24,여,부산,학생,채식을 지향해요. 환경을 위해서요.,1,건강환경형 식단가이드
P010,35,남,서울,개발자,뉴스는 포털 앱으로만 봐요.,2,디지털 몰입형 미니멀콘
P011,41,여,경기,주부,친구 추천이 있으면 믿고 구매해요.,0,관계중시 입소문족
P012,27,남,인천,디자이너,세일 기간에만 구매합니다.,3,리서치형 소비자
P013,33,여,서울,사무원,팟캐스트를 출퇴근 시간에 들어요.,2,디지털 몰입형 미니멀콘
P014,48,남,대전,교수,온라인 커뮤니티 활동을 많이 해요.,0,관계중시 입소문족
P015,26,여,서울,학생,헬스장을 매일 가요. 건강 관리가 최우선이에요.,1,건강환경형 식단가이드
